Combinations,Count
"('IDLY', 'VADA')",3734
"('DOSA', 'IDLY')",2020
"('CHAPPATHI', 'DOSA')",1297
"('IDLY', 'POORI')",1297
"('COFFEE', 'TEA')",1179
"('DOSA', 'VADA')",1141
"('CHAPPATHI', 'IDLY')",1070
"('COFFEE', 'SAMOSA')",1061
"('COFFEE', 'IDLY')",1016
"('POORI', 'VADA')",1008
"('COFFEE', 'DOSA')",995
"('PONGAL', 'VADA')",993
"('SAMOSA', 'TEA')",884
"('COFFEE', 'VADA')",767
"('DOSA', 'POORI')",717
"('IDLY', 'PONGAL')",670
"('IDLY', 'TEA')",535
"('CHAPPATHI', 'COFFEE')",469
"('TEA', 'VADA')",464
"('COFFEE', 'POORI')",461
"('DOSA', 'TEA')",429
"('DOSA', 'SAMOSA')",413
"('CHAPPATHI', 'MEALS')",393
"('CURD RICE', 'MEALS')",358
"('MILK', 'TEA')",355
"('MEALS', 'SAMBAR RICE')",352
"('PONGAL', 'POORI')",349
"('MEALS', 'VEG BIRIYANI')",349
"('COFFEE', 'MILK')",347
"('CHAPATHI -1', 'CHAPPATHI')",325
"('DOSA', 'PONGAL')",297
"('BAAJEE', 'COFFEE')",284
"('COFFEE', 'PANIYARAM')",281
"('CURD RICE', 'SAMBAR RICE')",277
"('COFFEE', 'MASALA DOSAI')",267
"('CURD VADA', 'DOSA')",254
"('POORI', 'TEA')",250
"('CHAPPATHI', 'VADA')",245
"('IDLY', 'SAMOSA')",231
"('CHAPPATHI', 'SAMOSA')",226
"('CHAPPATHI', 'TEA')",220
"('CHAPPATHI', 'VEG FRIED RICE')",218
"('BAG', 'IDLY')",215
"('COFFEE', 'PODI DOSA')",211
"('CURD VADA', 'IDLY')",203
"('COFFEE', 'GHEE DOSA')",195
"('BAAJEE', 'TEA')",193
"('SAMBAR RICE', 'VEG BIRIYANI')",191
"('COKE MINI', 'MAAZA MINI')",182
"('COFFEE', 'PONGAL')",181
"('CURD RICE', 'VEG BIRIYANI')",165
"('CHAPPATHI', 'POORI')",164
"('MEALS', 'VEG FRIED RICE')",158
"('PANIYARAM', 'TEA')",158
"('SAMOSA', 'VADA')",156
"('CURD VADA', 'POORI')",152
"('COFFEE', 'CURD VADA')",149
"('MAAZA MINI', 'SAMOSA')",147
"('HOT WATER', 'IDLY')",146
"('COFFEE', 'HOT WATER')",145
"('IDLY', 'MILK')",143
"('BISCUIT - 10', 'COFFEE')",133
"('BONDA', 'COFFEE')",131
"('COFFEE', 'MAAZA MINI')",130
"('POORI', 'SAMOSA')",127
"('BISCUIT - 10', 'TEA')",125
"('CHAPPATHI', 'CURD RICE')",125
"('DOSA', 'MASALA DOSAI')",122
"('COFFEE', 'POMEGRANATE JUICE')",120
"('BOOST', 'COFFEE')",119
"('MEALS', 'TOMATO RICE')",119
"('COFFEE', 'HORLICKS')",116
"('CHAPPATHI', 'EGG OMLETTE')",114
"('HOT WATER', 'TEA')",113
"('LEMON RICE', 'MEALS')",113
"('MASALA DOSAI', 'VADA')",108
"('IDLY', 'MASALA DOSAI')",107
"('DOSA', 'PODI DOSA')",107
"('DOSA', 'GHEE DOSA')",105
"('COFFEE', 'WATER BOTTLE - 20')",102
"('BONDA', 'TEA')",102
"('DOSA', 'HOT WATER')",101
"('CHAPPATHI', 'HOT WATER')",98
"('PONGAL', 'TEA')",98
"('CURD VADA', 'SAMOSA')",97
"('MASALA DOSAI', 'TEA')",96
"('DOSA', 'MILK')",94
"('POMEGRANATE JUICE', 'TEA')",93
"('CURD RICE', 'TOMATO RICE')",92
"('HOT WATER', 'VADA')",92
"('CHAPPATHI', 'PONGAL')",92
"('GHEE DOSA', 'TEA')",90
"('HOT WATER', 'MILK')",90
"('COFFEE', 'SAMBAR VADA')",87
"('CHAPPATHI', 'CHICKEN FRIED RICE')",86
"('SAMBAR RICE', 'SAMOSA')",86
"('DOSA', 'PANIYARAM')",85
"('BAAJEE', 'SAMOSA')",85
"('COFFEE', 'WATER BOTTLE')",84
"('POMEGRANATE JUICE', 'SAMOSA')",83
"('IDLY', 'SAMBAR VADA')",83
"('CURD RICE', 'LEMON RICE')",83
"('CURD VADA', 'TEA')",82
"('CHAPPATHI', 'SAMBAR RICE')",80
"('BAG', 'DOSA')",78
"('COFFEE', 'PANI PURI')",77
"('COFFEE', 'MOSAMBI')",75
"('CHAPPATHI', 'CURD VADA')",74
"('DAHI PURI', 'PANI PURI')",74
"('CHAPPATHI', 'POMEGRANATE JUICE')",73
"('DOSA', 'ONION DOSAI')",72
"('CURD VADA', 'VADA')",71
"('MASALA PURI', 'PANI PURI')",69
"('CHAPPATHI', 'PANIYARAM')",69
"('BAG', 'SAMBAR RICE')",68
"('COFFEE', 'ONION DOSAI')",68
